,GEOID,total_population00,median_income00,median_home_value00,educational_attainment_00,white_alone00,black_alone00,native00,asian00,native_hawaiian_pacific_islander00,hispanic_or_latino00
2882,36059520900,4726.478482,71920.99966,242400.0081,733.6593627999999,4472.634277,6.968270779,2.9864017960000004,45.79149246,0.0,189.1387787
2883,36059521000,5312.0,70147.0,222000.0,775.0,5090.0,13.0,1.0,39.0,0.0,150.0
2884,36059521100,4686.841421,69327.00138999999,223799.9937,857.9302979,4445.54834,12.90867329,1.985949755,88.37476349,1.985949755,135.0445862
2885,36059521200,2898.0,71615.0,223500.0,571.0,2754.0,10.0,3.0,45.0,0.0,83.0
2886,36059521301,2404.0,84934.0,239200.0,445.0,2280.0,13.0,1.0,29.0,0.0,78.0
2887,36059521302,5849.784511,88011.9994,279899.9939,1384.948975,5598.793945,9.999631882000001,5.999778748,59.99779129,0.9999631640000001,152.9943695
2888,36059521400,6780.0,94005.0,357700.0,2007.0,6496.0,5.0,13.0,115.0,0.0,137.0
2889,36059521500,4844.4020390000005,78128.18549,233397.569,999.4882751,4562.23595,5.016234208,3.0,108.0643124,0.0,161.08554180000002
2890,36059521601,4345.0,79155.0,228600.0,956.0,4132.0,20.0,1.0,63.0,0.0,125.0
2891,36059521602,3473.0,72981.0,226900.0,538.0,3312.0,7.0,6.0,28.0,0.0,120.0
2892,36059521700,4839.0,87654.0,267500.0,1288.0,4610.0,10.0,7.0,80.0,0.0,119.0
2893,36059521801,3844.5978630000004,80571.00207999999,228400.0051,781.5117187999999,3578.7639159999994,25.98376465,0.0,102.93568420000001,0.0,136.91445919999998
2894,36059521802,4151.0,75531.0,227100.0,969.0,3958.0,13.0,2.0,84.0,0.0,92.0
2895,36059521902,4659.0,94017.0,295600.0,1373.0,4401.0,18.0,15.0,70.0,0.0,143.0
2896,36059522000,6908.0,64050.0,169000.0,1316.0,3073.0,2433.0,25.0,245.0,0.0,1094.0
2897,36059522700,5129.158605,78773.80755,237215.1869,1194.0697109999999,4840.4515,17.09132667,4.014050256,77.62523639,2.014050256,182.9554175
2898,36059980100,5.715821755,125275.0016,456599.9858,2.211270094,5.077356339,0.16895972199999998,0.009343395,0.23280625,0.0,0.211005002
2899,36059981100,5.0,,625000.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2900,36059982100,1.11269754,137183.0055,1000000.98,0.373086452,0.681179643,0.18716816600000002,0.002187274,0.147172302,0.0,0.089678235
2901,36059990100,,,,,,,,,,
2902,36059990200,,,,,,,,,,
2903,36059990301,,,,,,,,,,
2904,36059990302,,,,,,,,,,
2905,36059990400,,,,,,,,,,
2906,36061000100,,,,,,,,,,
2907,36061000201,3329.0,21019.0,187500.0,293.0,153.0,305.0,6.0,1465.0,1.0,1383.0
2908,36061000202,6837.0,22750.0,132900.0,1004.0,1816.0,879.0,21.0,1247.0,0.0,2761.0
2909,36061000500,2.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2910,36061000600,12276.0,19002.0,159900.0,856.0,462.0,884.0,36.0,8038.0,2.0,2813.0
2911,36061000700,912.9847705,81175.21863999999,161049.4928,540.9754822000001,580.2502107999999,36.38785192,0.005386831999999999,215.75954339999998,0.010773663999999999,67.39862558
2912,36061000800,10917.0,25148.0,175000.0,752.0,995.0,102.0,31.0,9491.0,0.0,278.0
2913,36061000900,1118.015233,105206.0288,170300.0013,736.8438132,792.6202989,72.78685093,1.033769798,142.6290176,1.989226341,75.08932364
2914,36061001001,1361.0,41932.0,122000.0,398.0,1001.0,73.0,1.0,44.0,0.0,230.0
2915,36061001002,6733.3359709999995,14519.093840000001,19.52162012,154.0080025,135.0073411,1201.0611099999999,20.00119045,586.0215602999999,6.6136e-05,4761.243843
2916,36061001200,3466.0,25865.0,115400.0,865.0,1662.0,121.0,10.0,361.0,0.0,1220.0
2917,36061001300,1607.0000009999999,81594.94801000001,187500.0,855.7831325999999,1146.644577,141.4096384,6.246987954,177.06626509999998,0.0,108.38554189999999
2918,36061001401,2962.0,39239.0,135500.0,979.0,2219.0,110.0,5.0,112.0,0.0,471.0
2919,36061001402,3019.0,18984.0,175000.0,383.0,553.0,115.0,9.0,1040.0,0.0,1280.0
2920,36061001501,4562.0,40158.0,106500.0,1533.0,2832.0,369.0,9.0,973.0,0.0,343.0
2921,36061001502,3937.0,74531.0,442900.0,1555.0,2720.0,179.0,14.0,674.0,1.0,230.0
2922,36061001600,9598.0,23619.0,138400.0,1037.0,526.0,43.0,26.0,8728.0,0.0,265.0
2923,36061001800,10157.0,25747.0,667800.0,710.0,967.0,273.0,16.0,7457.0,2.0,1406.0
2924,36061002000,5174.227992,11963.19491,624978.6909,121.00543049999999,93.00498172,870.0414694,15.00080785,423.01463099999995,4.48803e-05,3768.1654740000004
2925,36061002100,2407.0,128384.0,582800.0,1539.0,1804.0,96.0,6.0,362.0,0.0,117.0
2926,36061002201,6646.0,25700.0,229500.0,822.0,830.0,928.0,18.0,1607.0,3.0,3201.0
2927,36061002202,1556.0,32425.0,346200.0,541.0,743.0,192.0,7.0,152.0,0.0,426.0
2928,36061002400,5079.435899,16396.0,221399.9921,120.9865646,110.9876709,923.8973999,17.998001100000003,325.96380619999996,0.999888957,3686.5905759999996
2929,36061002500,5209.0,13611.0,416700.0,196.0,147.0,790.0,10.0,2079.0,0.0,2177.0
2930,36061002601,3400.0,28060.0,187500.0,412.0,630.0,438.0,6.0,296.0,0.0,1994.0
2931,36061002602,3718.0,33100.0,234500.0,1428.0,1734.0,330.0,25.0,552.0,1.0,1015.0
2932,36061002700,1517.0,28438.0,186300.0,240.0,290.0,28.0,2.0,1150.0,0.0,45.0
2933,36061002800,6701.0,27976.0,184800.0,1280.0,1797.0,917.0,26.0,788.0,0.0,3079.0
2934,36061002900,7422.0,20344.0,150800.0,716.0,519.0,792.0,17.0,5339.0,0.0,736.0
2935,36061003001,4275.0,34826.0,153800.0,1276.0,1435.0,145.0,25.0,1312.0,0.0,1294.0
2936,36061003002,3281.0,34450.0,183000.0,1155.0,1812.0,241.0,18.0,426.0,1.0,741.0
2937,36061003100,1726.0,67361.0,366100.0,282.0,750.0,175.0,2.0,406.0,0.0,125.0
2938,36061003200,8016.0,36759.0,176300.0,3406.0,5819.0,340.0,41.0,1006.0,0.0,717.0
2939,36061003300,3696.0,113332.0,794100.0,2349.0,3088.0,85.0,3.0,308.0,0.0,162.0
2940,36061003400,6561.0,37371.0,197900.0,2736.0,3945.0,327.0,38.0,789.0,0.0,1327.0
2941,36061003601,3280.0,19271.0,141800.0,456.0,617.0,326.0,10.0,946.0,0.0,1340.0
2942,36061003602,2372.0,45000.0,268500.0,874.0,1363.0,371.0,17.0,249.0,0.0,352.0
2943,36061003700,2256.0,82651.09813,433035.7868,1246.0,1732.0,171.0,6.0,111.0,0.0,211.0
2944,36061003800,9162.0,40886.0,372700.0,4260.0,6045.0,386.0,40.0,1547.0,0.0,948.0
2945,36061003900,4292.0,47083.0,860700.0,2129.0,3220.0,398.0,14.0,248.0,1.0,380.0
2946,36061004000,8690.0,51413.0,231000.0,3942.0,5845.0,516.0,24.0,1261.0,11.0,933.0
2947,36061004100,8957.0,20950.0,188200.0,1040.0,1724.0,75.0,24.0,6825.0,2.0,267.0
2948,36061004200,3664.0,63258.0,378800.0,1702.0,2412.0,347.0,11.0,618.0,0.0,263.0
2949,36061004300,4884.0,45409.0,542300.0,1918.0,2538.0,75.0,10.0,1552.0,2.0,616.0
2950,36061004400,15112.0,66154.0,350000.0,8253.0,11572.0,891.0,31.0,1575.0,3.0,948.0
2951,36061004500,1066.0,65662.0,808600.0,557.0,736.0,20.0,4.0,244.0,0.0,51.0
2952,36061004700,2463.0,57167.0,1000001.0,1357.0,1986.0,41.0,11.0,233.0,0.0,169.0
